Zona,Area,Qualidade,AnoConstrucao,QualidadeAquecimento,Banheiros,Quartos_t1,Quartos_t2,Comodos,Lareiras,Garagem,Preco
RL,8400.0,6,1940.0,Ex,1.0,2.0,3.0,6.0,2.0,1.0,140000.0
RL,6930.0,5,1958.0,Ex,1.0,3.0,4.0,6.0,0.0,1.0,130000.0
RL,9144.0,5,1940.0,Gd,1.0,3.0,4.0,8.0,0.0,1.0,145000.0
RL,7800.0,5,1954.0,Gd,1.0,2.0,3.0,7.0,1.0,1.0,132000.0
RL,7175.0,6,1984.0,TA,1.0,2.0,3.0,4.0,0.0,1.0,125000.0
RL,10634.0,5,1953.0,TA,1.0,3.0,4.0,5.0,0.0,1.0,123000.0
RL,8846.0,5,1996.0,Ex,1.0,2.0,3.0,5.0,0.0,2.0,148000.0
RL,7200.0,6,1976.0,Ex,1.0,3.0,4.0,6.0,1.0,1.0,125000.0
RL,8339.0,5,1959.0,TA,1.0,3.0,4.0,5.0,0.0,1.0,106500.0
RL,7446.0,4,1941.0,TA,1.0,2.0,3.0,4.0,2.0,0.0,100000.0
RL,10134.0,5,1940.0,Gd,1.0,2.0,3.0,5.0,0.0,1.0,109000.0
RL,9571.0,5,1956.0,TA,1.0,3.0,4.0,6.0,0.0,1.0,129000.0
RL,7200.0,5,1972.0,TA,1.0,2.0,3.0,6.0,0.0,2.0,123000.0
RL,10200.0,5,1940.0,Ex,1.0,2.0,3.0,4.0,0.0,1.0,108000.0
RL,9991.0,4,1976.0,Ex,2.0,3.0,4.0,8.0,1.0,2.0,150000.0
RL,7844.0,6,1978.0,TA,1.0,3.0,4.0,6.0,1.0,2.0,149500.0
RL,8450.0,5,1968.0,Ex,1.0,3.0,4.0,6.0,1.0,1.0,142000.0
RL,9000.0,6,1956.0,Gd,1.0,2.0,3.0,6.0,1.0,1.0,139000.0
RL,8593.0,4,1957.0,Ex,1.0,3.0,4.0,5.0,0.0,1.0,109008.0
RL,9855.0,6,1956.0,Fa,1.0,3.0,4.0,7.0,1.0,2.0,127500.0
RL,7015.0,5,1950.0,TA,1.0,3.0,4.0,5.0,1.0,1.0,110000.0
RL,8430.0,5,1978.0,TA,2.0,3.0,4.0,5.0,0.0,0.0,124000.0
RL,9480.0,5,1942.0,Ex,1.0,3.0,4.0,7.0,2.0,1.0,146500.0
RL,8480.0,5,1963.0,TA,1.0,2.0,3.0,5.0,0.0,2.0,132500.0
RL,7758.0,5,1962.0,Gd,1.0,3.0,4.0,6.0,0.0,1.0,132500.0
RL,9600.0,5,1950.0,Gd,1.0,3.0,4.0,5.0,1.0,1.0,147000.0
RL,9490.0,6,1941.0,TA,1.0,3.0,4.0,5.0,2.0,1.0,133000.0
RL,7800.0,5,1967.0,Ex,1.0,3.0,4.0,5.0,0.0,1.0,130000.0
RL,7535.0,5,1958.0,Fa,1.0,2.0,3.0,5.0,0.0,1.0,120000.0
RL,9170.0,5,1965.0,Ex,1.0,2.0,3.0,6.0,0.0,2.0,140000.0
RL,9600.0,5,1959.0,Ex,1.0,3.0,4.0,6.0,0.0,1.0,124500.0
RL,9100.0,5,1958.0,TA,1.0,3.0,4.0,5.0,0.0,2.0,129900.0
RL,9187.0,6,1983.0,TA,1.0,3.0,4.0,5.0,0.0,2.0,134000.0
RL,7200.0,5,1955.0,Ex,1.0,2.0,3.0,5.0,1.0,1.0,107500.0
RL,12735.0,4,1972.0,TA,1.0,3.0,4.0,5.0,0.0,2.0,111250.0
RL,7244.0,5,1970.0,Ex,1.0,2.0,3.0,5.0,0.0,2.0,129500.0
RM,8235.0,5,1955.0,TA,1.0,2.0,3.0,4.0,0.0,2.0,125000.0
RL,8777.0,4,1949.0,Ex,2.0,2.0,3.0,5.0,0.0,2.0,108000.0
RL,11341.0,5,1957.0,TA,1.0,3.0,4.0,5.0,1.0,2.0,121500.0
RL,7032.0,5,1979.0,TA,1.0,2.0,3.0,4.0,2.0,2.0,135960.0
RL,7332.0,6,1959.0,Ex,1.0,2.0,3.0,4.0,0.0,1.0,120000.0
RL,10500.0,5,1971.0,TA,1.0,3.0,4.0,5.0,0.0,1.0,139000.0
RL,8480.0,5,1947.0,TA,1.0,2.0,3.0,6.0,0.0,1.0,118500.0
RL,11841.0,6,1990.0,TA,1.0,3.0,4.0,5.0,0.0,0.0,118500.0
RL,8740.0,5,1982.0,TA,1.0,2.0,3.0,4.0,0.0,2.0,137000.0
RL,6600.0,5,1982.0,Ex,1.0,2.0,3.0,4.0,0.0,2.0,138000.0
RL,7990.0,5,1975.0,TA,1.0,3.0,4.0,5.0,0.0,1.0,110000.0
RL,7943.0,4,1961.0,Gd,1.0,3.0,4.0,5.0,0.0,1.0,118500.0
RL,10395.0,6,1978.0,TA,2.0,3.0,4.0,6.0,1.0,2.0,148000.0
RL,8402.0,5,2007.0,Ex,1.0,3.0,4.0,6.0,0.0,0.0,147000.0
RL,8800.0,6,1963.0,Ex,1.0,3.0,4.0,6.0,0.0,2.0,137500.0
RL,7227.0,6,1954.0,Gd,1.0,2.0,3.0,4.0,0.0,2.0,105500.0
RL,7064.0,5,1977.0,TA,1.0,3.0,4.0,6.0,0.0,2.0,135000.0
RL,11900.0,7,1977.0,TA,2.0,3.0,4.0,6.0,1.0,2.0,82500.0
RL,9250.0,5,1954.0,TA,1.0,3.0,4.0,6.0,0.0,1.0,139400.0
RL,10530.0,6,1971.0,TA,1.0,3.0,4.0,5.0,0.0,2.0,143250.0
RL,7200.0,5,1950.0,Gd,1.0,3.0,4.0,7.0,0.0,2.0,98300.0
RL,10007.0,5,1959.0,Ex,1.0,3.0,4.0,5.0,0.0,1.0,145500.0
RL,10012.0,4,1972.0,TA,2.0,3.0,4.0,6.0,0.0,2.0,137500.0
RL,9200.0,6,1965.0,TA,1.0,3.0,4.0,5.0,1.0,1.0,140000.0
RL,9945.0,5,1961.0,TA,1.0,3.0,4.0,5.0,0.0,2.0,128500.0
RL,8012.0,6,1980.0,TA,2.0,2.0,3.0,5.0,1.0,1.0,143000.0
RL,6420.0,5,1952.0,Fa,1.0,2.0,3.0,6.0,0.0,1.0,123500.0
RL,8450.0,5,1965.0,Ex,1.0,3.0,4.0,5.0,1.0,1.0,138500.0
RL,9600.0,7,1969.0,TA,1.0,3.0,4.0,6.0,0.0,2.0,140000.0
RL,7162.0,5,1966.0,TA,1.0,3.0,4.0,6.0,0.0,1.0,109900.0
RL,9920.0,5,1969.0,TA,1.0,3.0,4.0,5.0,1.0,1.0,128500.0
RL,8120.0,4,1970.0,Ex,1.0,3.0,4.0,5.0,0.0,2.0,124500.0
RL,6960.0,4,1970.0,TA,1.0,3.0,4.0,5.0,0.0,2.0,120500.0
RL,10000.0,5,1961.0,Ex,1.0,3.0,4.0,6.0,1.0,1.0,131400.0
RL,8978.0,5,1968.0,TA,1.0,3.0,4.0,6.0,0.0,1.0,108000.0
RL,6768.0,6,1961.0,Gd,1.0,3.0,4.0,5.0,0.0,1.0,142000.0
RL,9100.0,6,1959.0,Ex,1.0,2.0,3.0,5.0,0.0,1.0,127500.0
RL,7252.0,5,1982.0,TA,1.0,2.0,3.0,5.0,0.0,2.0,134900.0
RL,8877.0,4,1951.0,TA,1.0,2.0,3.0,6.0,0.0,2.0,102000.0
RL,7819.0,6,1976.0,TA,1.0,3.0,4.0,6.0,1.0,2.0,107000.0
RL,10150.0,5,1958.0,Ex,1.0,2.0,3.0,5.0,0.0,1.0,114500.0
RL,10530.0,6,1977.0,TA,1.0,2.0,3.0,4.0,0.0,2.0,135000.0
RL,8197.0,6,1977.0,Ex,1.0,3.0,4.0,7.0,1.0,2.0,143500.0
RL,7677.0,5,1953.0,Gd,1.0,2.0,3.0,4.0,0.0,1.0,110000.0
RL,9000.0,5,1954.0,TA,1.0,2.0,3.0,5.0,0.0,1.0,118000.0
RL,9750.0,5,1967.0,Gd,2.0,3.0,4.0,6.0,0.0,1.0,135500.0
RL,11425.0,5,1954.0,Gd,1.0,2.0,3.0,4.0,1.0,1.0,137000.0
RL,9900.0,6,1940.0,TA,2.0,3.0,4.0,7.0,1.0,1.0,139500.0
RL,7875.0,5,1961.0,Gd,1.0,3.0,4.0,6.0,0.0,2.0,139950.0
RL,9600.0,4,1950.0,TA,2.0,2.0,3.0,4.0,0.0,2.0,128000.0
RL,9525.0,5,1995.0,Ex,1.0,3.0,4.0,6.0,0.0,1.0,144000.0
RL,11767.0,5,1946.0,Ex,1.0,3.0,4.0,6.0,0.0,1.0,130500.0
RL,6897.0,5,1962.0,Ex,1.0,3.0,4.0,6.0,0.0,1.0,127000.0
RL,10970.0,6,1978.0,TA,1.0,3.0,4.0,5.0,0.0,2.0,147000.0
RL,10400.0,7,1976.0,TA,2.0,3.0,4.0,6.0,1.0,2.0,152000.0
RL,11625.0,5,1965.0,Ex,1.0,3.0,4.0,6.0,0.0,2.0,131500.0
RL,9672.0,6,1984.0,TA,2.0,3.0,4.0,6.0,0.0,2.0,152000.0
RL,7931.0,5,1959.0,TA,1.0,3.0,4.0,6.0,0.0,1.0,132500.0
RL,8750.0,5,1970.0,TA,1.0,3.0,4.0,5.0,0.0,2.0,148500.0
RL,6970.0,4,1961.0,TA,1.0,3.0,4.0,5.0,0.0,2.0,129000.0
RL,8892.0,5,1953.0,Gd,1.0,3.0,4.0,5.0,0.0,2.0,116000.0
RL,12144.0,5,1949.0,Gd,1.0,3.0,4.0,6.0,1.0,1.0,133000.0
RL,7000.0,5,1978.0,Ex,1.0,3.0,4.0,6.0,0.0,1.0,136500.0
RL,7150.0,5,1967.0,TA,1.0,3.0,4.0,5.0,0.0,1.0,100000.0
RL,8064.0,5,1949.0,Ex,1.0,3.0,4.0,6.0,1.0,2.0,122900.0
RL,6993.0,5,1961.0,TA,1.0,3.0,4.0,6.0,1.0,1.0,135000.0
RL,7340.0,4,1971.0,TA,1.0,2.0,3.0,4.0,0.0,1.0,110000.0
RL,6173.0,5,1967.0,TA,1.0,3.0,4.0,6.0,0.0,1.0,125500.0
RL,9920.0,5,1954.0,TA,1.0,3.0,4.0,6.0,0.0,1.0,128000.0
RL,8885.0,5,1983.0,TA,1.0,2.0,3.0,5.0,0.0,2.0,131000.0
RL,9286.0,5,1977.0,TA,1.0,3.0,4.0,5.0,0.0,1.0,143500.0
RL,9100.0,5,1965.0,Ex,1.0,2.0,3.0,5.0,0.0,1.0,117500.0
RL,8163.0,5,1959.0,TA,1.0,3.0,4.0,6.0,1.0,1.0,143000.0
RL,7200.0,5,1950.0,Gd,1.0,3.0,4.0,5.0,0.0,2.0,129000.0
RL,7200.0,5,1972.0,Gd,1.0,2.0,3.0,5.0,0.0,1.0,133900.0
RL,7420.0,5,1962.0,TA,1.0,3.0,4.0,6.0,0.0,2.0,132000.0
RL,7207.0,5,1958.0,Gd,1.0,2.0,3.0,4.0,0.0,0.0,116500.0
RL,7390.0,5,1955.0,TA,1.0,3.0,4.0,6.0,0.0,1.0,135000.0
RL,10382.0,6,1958.0,TA,1.0,2.0,3.0,6.0,0.0,1.0,140000.0
RL,7892.0,6,1979.0,TA,2.0,2.0,3.0,5.0,1.0,1.0,99500.0
RL,9450.0,4,1954.0,Ex,1.0,3.0,4.0,5.0,0.0,2.0,110000.0
RL,8816.0,5,1963.0,TA,1.0,3.0,4.0,5.0,0.0,2.0,139000.0
RL,10659.0,5,1961.0,TA,1.0,3.0,4.0,6.0,0.0,1.0,136500.0
RL,8385.0,5,1977.0,TA,2.0,3.0,4.0,6.0,0.0,1.0,149900.0
RL,11664.0,6,1948.0,TA,1.0,2.0,3.0,5.0,1.0,1.0,119200.0
RL,7700.0,5,1972.0,TA,1.0,3.0,4.0,5.0,0.0,2.0,112500.0
RL,9492.0,5,1941.0,TA,1.0,3.0,4.0,6.0,1.0,1.0,105000.0
RL,9245.0,5,1994.0,Ex,1.0,3.0,4.0,5.0,0.0,2.0,145000.0
RL,11100.0,4,1946.0,Ex,1.0,2.0,3.0,6.0,0.0,1.0,84900.0
RL,9600.0,5,1949.0,TA,1.0,2.0,3.0,4.0,0.0,2.0,135000.0
RL,10152.0,5,1956.0,TA,1.0,3.0,4.0,6.0,0.0,1.0,135000.0
RL,8775.0,5,1994.0,Gd,1.0,3.0,4.0,5.0,0.0,1.0,126000.0
RL,11040.0,6,1971.0,Ex,2.0,3.0,4.0,5.0,0.0,2.0,145000.0
RL,7500.0,5,1963.0,Fa,1.0,3.0,4.0,5.0,0.0,1.0,133000.0
RL,9069.0,6,1992.0,Ex,1.0,2.0,3.0,5.0,0.0,2.0,147000.0
RL,9230.0,5,1965.0,Gd,1.0,1.0,2.0,6.0,0.0,2.0,146000.0
RL,9758.0,5,1971.0,TA,1.0,3.0,4.0,5.0,0.0,1.0,119500.0
RL,7000.0,5,1960.0,Ex,1.0,2.0,3.0,6.0,0.0,1.0,135000.0
RL,7100.0,5,1957.0,TA,1.0,2.0,3.0,5.0,0.0,1.0,129900.0
RL,8923.0,5,1953.0,Gd,1.0,2.0,3.0,6.0,0.0,1.0,134500.0
RL,9764.0,5,1967.0,Ex,1.0,3.0,4.0,5.0,0.0,2.0,130000.0
RL,7560.0,5,1959.0,TA,1.0,3.0,4.0,6.0,0.0,1.0,133700.0
RL,8926.0,4,1956.0,Ex,1.0,3.0,4.0,5.0,0.0,1.0,112000.0
RL,9405.0,5,1947.0,Ex,1.0,2.0,3.0,4.0,0.0,0.0,118000.0
RL,10434.0,4,1955.0,TA,1.0,2.0,3.0,5.0,1.0,2.0,115000.0
RM,7200.0,5,1980.0,TA,1.0,2.0,3.0,4.0,0.0,2.0,140000.0
RL,9600.0,6,1950.0,TA,1.0,3.0,4.0,6.0,0.0,1.0,119000.0
RL,7350.0,5,1951.0,TA,1.0,2.0,3.0,4.0,0.0,2.0,139000.0
RL,9000.0,5,1959.0,TA,1.0,3.0,4.0,5.0,0.0,0.0,80000.0
RL,8280.0,6,1950.0,Ex,1.0,2.0,3.0,4.0,1.0,1.0,124000.0
RL,8724.0,5,1968.0,Gd,1.0,3.0,4.0,5.0,1.0,2.0,129000.0
RL,6951.0,5,1984.0,TA,1.0,3.0,4.0,5.0,0.0,1.0,119500.0
RL,8335.0,5,1954.0,Gd,1.0,3.0,4.0,5.0,1.0,0.0,93000.0
RL,9353.0,4,1970.0,Gd,1.0,3.0,4.0,5.0,0.0,1.0,116050.0
RL,7763.0,5,1962.0,TA,1.0,3.0,4.0,6.0,0.0,2.0,140000.0
RL,9340.0,4,1941.0,TA,1.0,2.0,3.0,4.0,0.0,1.0,113000.0
RL,10205.0,5,1962.0,TA,1.0,3.0,4.0,6.0,0.0,1.0,134500.0
RL,7094.0,5,1966.0,TA,1.0,3.0,4.0,5.0,0.0,1.0,125000.0
RL,7800.0,5,1964.0,TA,1.0,2.0,3.0,5.0,0.0,1.0,115000.0
RL,8250.0,5,1968.0,Ex,1.0,3.0,4.0,5.0,1.0,1.0,134000.0
RL,10496.0,6,1949.0,Ex,2.0,3.0,4.0,7.0,1.0,1.0,143000.0
RL,10482.0,6,1958.0,Ex,1.0,3.0,4.0,6.0,0.0,1.0,145000.0
RL,8872.0,5,1965.0,Ex,1.0,2.0,3.0,5.0,0.0,2.0,147000.0
RL,7728.0,5,1962.0,TA,1.0,3.0,4.0,6.0,0.0,2.0,132500.0
RL,7200.0,5,1950.0,TA,1.0,3.0,4.0,6.0,0.0,1.0,119000.0
RL,9858.0,5,1968.0,TA,1.0,3.0,4.0,5.0,0.0,1.0,130000.0
RL,9750.0,6,1969.0,Gd,1.0,3.0,4.0,6.0,0.0,2.0,151000.0
RL,9600.0,5,1956.0,Gd,1.0,2.0,3.0,5.0,0.0,1.0,128900.0
RL,11344.0,5,1958.0,TA,1.0,3.0,4.0,7.0,0.0,1.0,144000.0
RL,8800.0,5,1977.0,TA,2.0,3.0,4.0,5.0,0.0,2.0,150500.0
RL,9790.0,6,1963.0,TA,1.0,3.0,4.0,6.0,2.0,2.0,143000.0
RL,8172.0,5,1955.0,TA,1.0,2.0,3.0,5.0,0.0,2.0,115000.0
RL,8400.0,5,1968.0,Gd,1.0,3.0,4.0,5.0,0.0,1.0,138500.0
RL,8072.0,5,1994.0,Ex,1.0,3.0,4.0,5.0,0.0,2.0,138000.0
RL,8190.0,4,1954.0,Ex,1.0,3.0,4.0,5.0,1.0,1.0,119000.0
RL,10215.0,4,1954.0,Ex,1.0,3.0,4.0,5.0,0.0,1.0,111000.0
RL,9986.0,8,2006.0,Ex,2.0,2.0,3.0,7.0,1.0,3.0,147000.0
RL,6600.0,5,1982.0,Ex,1.0,3.0,4.0,5.0,1.0,1.0,130500.0
RL,10780.0,5,1976.0,Gd,1.0,3.0,4.0,6.0,0.0,2.0,132500.0
RL,9560.0,5,1972.0,Ex,1.0,3.0,4.0,5.0,0.0,1.0,128500.0
RL,9477.0,5,1966.0,TA,1.0,3.0,4.0,5.0,0.0,1.0,110000.0
RL,10998.0,5,1941.0,Ex,2.0,3.0,4.0,6.0,0.0,2.0,117000.0
RM,6000.0,6,1941.0,Ex,1.0,3.0,4.0,6.0,1.0,2.0,131000.0
RL,7838.0,5,1967.0,TA,1.0,3.0,4.0,6.0,1.0,1.0,123000.0
RL,7200.0,5,1950.0,Gd,1.0,3.0,4.0,7.0,0.0,1.0,138000.0
RL,8445.0,5,1972.0,TA,1.0,2.0,3.0,5.0,0.0,2.0,133000.0
RL,8780.0,5,1985.0,Ex,1.0,3.0,4.0,5.0,0.0,0.0,112000.0
RL,9600.0,6,1950.0,Ex,1.0,3.0,4.0,6.0,0.0,1.0,140000.0
RL,9204.0,5,1963.0,TA,1.0,3.0,4.0,6.0,0.0,1.0,124000.0
RL,9503.0,5,1958.0,TA,1.0,2.0,3.0,6.0,1.0,1.0,144000.0
RL,10721.0,6,1959.0,Ex,1.0,3.0,4.0,7.0,0.0,2.0,142000.0
RL,10930.0,5,1945.0,TA,1.0,3.0,4.0,6.0,1.0,1.0,140000.0
RM,7200.0,5,1940.0,TA,1.0,2.0,3.0,4.0,2.0,1.0,119000.0
RL,9000.0,4,1971.0,TA,1.0,3.0,4.0,5.0,0.0,2.0,120500.0
RM,7407.0,6,1957.0,TA,1.0,2.0,3.0,6.0,0.0,2.0,149700.0
RL,8400.0,6,1966.0,Gd,1.0,3.0,4.0,6.0,0.0,1.0,129000.0
RL,9717.0,5,1950.0,Gd,1.0,2.0,3.0,5.0,0.0,1.0,142125.0
