"","Zona","Area","Qualidade","AnoConstrucao","QualidadeAquecimento","Banheiros","Quartos_t1","Quartos_t2","Comodos","Lareiras","Garagem","Preco","PrecoRF","PrecoRG","PrecoDT"
"22","RM",1680,"6",1972,"Gd",1,2,3,5,0,1,118000,107345.666205592,116958.35296932,105920
"23","RM",3378,"7",1946,"Gd",1,3,4,6,2,1,135000,125590.848690476,135812.379924991,118000
"24","RM",1680,"6",1971,"TA",1,2,3,4,0,1,85400,90619.0990444196,100268.895980299,94133.3333333333
"25","RM",1920,"5",1971,"Ex",1,2,3,6,0,2,122500,120057.875,138011.436256679,117833.333333333
"26","RM",1890,"4",1972,"Gd",1,1,2,3,0,0,81000,86557.4409663866,84359.3297845187,82875
"27","RM",3675,"6",2005,"Ex",1,2,3,5,0,2,148000,145971.735921353,138011.436256679,140345.454545455
"28","RM",1526,"4",1970,"TA",1,1,2,3,0,1,86000,84723.3807571513,88480.7561102514,82875
"29","RM",2665,"5",1976,"TA",1,3,4,4,1,1,115000,108379.361648352,109695.909458135,118000
"30","RM",1890,"6",1973,"TA",1,3,4,7,0,1,113000,103980.391594517,100268.895980299,94133.3333333333
"31","RL",2308,"6",1974,"TA",2,3,4,6,1,2,147000,144184.887251915,146055.42236367,142694.444444444
"32","RL",4043,"6",1977,"TA",2,2,3,4,0,2,140000,137332.787649462,136628.408885835,142694.444444444
"33","RM",6000,"5",1957,"Gd",1,3,4,5,0,1,112500,114647.655800866,116958.35296932,118000
"34","RM",4435,"6",2003,"Ex",1,1,2,4,0,2,140000,140247.631790089,138011.436256679,140345.454545455
"35","RM",1950,"6",1980,"TA",2,3,4,6,1,2,151000,140475.67247497,130506.792772888,140345.454545455
"36","RM",1936,"4",1970,"Gd",1,1,2,3,0,0,84500,86053.2976330532,84359.3297845187,82875
"37","RM",1680,"6",1971,"TA",1,3,4,6,0,1,88000,96187.3783222334,100268.895980299,94133.3333333333
"38","RL",2289,"6",1978,"TA",2,3,4,7,1,2,148500,148225.45033128,146055.42236367,142694.444444444
"39","RM",4426,"6",2004,"Ex",1,1,2,3,1,2,141000,146540.942021413,147438.449734515,140345.454545455
"40","RM",4426,"6",2004,"Ex",1,1,2,3,0,2,143000,142637.225404808,138011.436256679,140345.454545455
"41","RM",6000,"4",1954,"Ex",1,2,3,4,0,1,107900,107552.393917749,105412.413071878,105920
"42","RL",3182,"7",2005,"Ex",2,2,3,5,1,2,160200,159279.075483766,162987.079325297,162867
"43","RM",4438,"6",2004,"Ex",1,1,2,4,1,2,144500,146495.99829847,147438.449734515,140345.454545455
"44","RM",1680,"6",1973,"TA",1,2,3,5,0,1,100000,96912.0582507688,100268.895980299,94133.3333333333
"45","RM",4435,"6",2003,"Ex",1,1,2,3,0,2,131500,139489.207893985,138011.436256679,140345.454545455
"46","RM",1300,"6",1980,"TA",1,2,3,5,1,2,124000,129670.87297619,130506.792772888,140345.454545455
"47","RL",2308,"6",1976,"TA",2,3,4,7,1,2,155000,148151.683759851,146055.42236367,142694.444444444
"48","RL",2268,"7",2003,"Ex",2,2,3,6,0,2,173000,160571.525412338,153560.065847461,162867
"49","RL",3182,"7",2007,"Ex",2,2,3,6,1,2,159895,159468.3683171,162987.079325297,162867
"50","RL",4712,"4",1946,"TA",1,3,4,5,0,1,121600,108645.197929293,104029.385701034,94133.3333333333
"51","RM",2217,"4",1970,"TA",1,3,4,6,0,1,88000,92810.9733150184,88480.7561102514,94133.3333333333
"52","RM",1680,"6",1972,"Gd",1,3,4,7,0,1,118000,111062.479531025,116958.35296932,105920
"53","RM",1533,"4",1970,"TA",1,3,4,6,1,0,97000,95838.6604578755,77096.886273334,94133.3333333333
"54","RM",1477,"4",1970,"TA",1,1,2,3,0,1,80000,84341.127423818,88480.7561102514,82875
"55","RM",4435,"6",2004,"Ex",1,1,2,3,1,2,155900,147308.750434112,147438.449734515,140345.454545455
"56","RM",1974,"4",1973,"TA",1,3,4,6,0,1,83500,91089.3125213676,88480.7561102514,94133.3333333333
"57","RM",2522,"7",2004,"Ex",2,3,4,7,0,2,137500,133994.643332112,138011.436256679,140345.454545455
"58","RL",5868,"5",1956,"Ex",1,2,3,4,0,1,129000,118202.102857143,132749.182532708,118000
"59","RM",2016,"5",1970,"TA",2,3,4,6,0,2,106000,116663.47042735,121079.779295052,117833.333333333
"60","RL",5400,"5",1954,"Ex",1,2,3,4,0,1,117000,117033.075,132749.182532708,118000
"61","RL",2280,"6",1978,"Fa",2,3,4,7,1,2,146000,147383.007989288,146055.42236367,142694.444444444
"62","RM",1680,"6",1971,"TA",1,3,4,7,0,0,91500,98094.0328643579,79458.0126655458,94133.3333333333
"63","RM",1680,"5",1972,"TA",2,3,4,6,0,1,119500,112265.722626263,100268.895980299,102125
"64","RM",3675,"6",2005,"Gd",2,2,3,5,0,2,140000,143232.265207178,137769.236284073,140345.454545455
"65","RM",3363,"7",2004,"Ex",2,3,4,7,0,2,130000,133695.665752747,138011.436256679,140345.454545455
"66","RL",5330,"4",1940,"Gd",1,2,3,5,0,0,82500,95915.1945238096,99907.9593753011,105920
"67","RM",2368,"5",1970,"TA",1,3,4,7,0,2,125000,121751.032411477,121079.779295052,117833.333333333
"68","RM",4435,"6",2003,"Ex",1,1,2,4,0,2,144000,140247.631790089,138011.436256679,140345.454545455
"69","RM",1953,"6",1973,"TA",1,2,3,5,0,1,83000,93148.8476439312,100268.895980299,94133.3333333333
"70","RL",4043,"6",1977,"TA",2,2,3,4,1,2,127500,135290.768673271,146055.42236367,142694.444444444
"71","RM",4435,"6",2003,"Ex",1,1,2,3,0,2,136500,139489.207893985,138011.436256679,140345.454545455
"72","RL",4928,"6",1976,"TA",2,2,3,5,0,2,143750,137604.695478466,136628.408885835,142694.444444444
"73","RM",4426,"6",2004,"Ex",1,1,2,3,1,2,149300,146540.942021413,147438.449734515,140345.454545455
"74","RM",1533,"5",1970,"Ex",1,1,2,3,0,0,92000,95923.7750523006,96389.6696271726,102125
"75","RM",3675,"5",2005,"Gd",1,2,3,5,0,2,145000,138448.530835775,137769.236284073,140345.454545455
